actor,air_time_in_minutes
Eric Roberts,446
Virginia Kull,445
Sri Divya,445
John Stamos,444
Indrans,441
Paris Berelc,439
Sai Pallavi,438
Oscar Isaac,438
Dean Cain,437
Anil Kapoor,437
Parvathi T,435
Ritu Varma,435
Naresh,435
Daisy Ridley,433
Carrie Fisher,433
David Kaye,432
Johnny Yong Bosch,432
Kirby Morrow,432
Sidharth Malhotra,428
Nikhila Vimal,426
Anne-Marie Newland,426
Naveen Polishetty,424
Santanu Ghatak,423
Rachel Brosnahan,422
Sai Kumar,420
Rebecca Shoichet,420
Ram Kapoor,417
Bob Peterson,417
Jim Sarbh,416
Miya,414
Sanjay Dutt,413
Vikas Verma,413
James Marshall,411
Kira Gelineau,411
Aishwarya Rai Bachchan,411
Amala Paul,411
Josh Lucas,410
Randeep Hooda,409
Pulkit Samrat,407
Erica Lindbeck,406
Meira Blinkoff,406
Patrick Seitz,405
Jack De Sena,405
David Chen,405
Stephanie Sheh,405
Dave B. Mitchell,405
Ritika Singh,400
Karma McCain,399
Mahima Makwana,399
Donald Glover,399
Ruhi Singh,399
Harsha,399
Suniel Shetty,399
Vidya Balan,397
Priya Bhavani Shankar,397
Jyotika,396
Kelsey Bohlen,395
Aniket Vishwasrao,395
Emily Blunt,395
Nia Long,394
Eesha Rebba,393
Musskan Sethi,393
Poorna,392
Nicholas Hoult,391
James McAvoy,391
Michael Fassbender,391
Jennifer Lawrence,391
Madhusudhan Rao,390
Revathi,389
Guru Somasundaram,388
Corbin Bernsen,388
Sundeep Kishan,385
Ramdoss,385
Brian Drummond,384
Irrfan Khan,383
Vikram,383
Brijendra Kala,382
Kriti Kharbanda,382
Dara Reneé,382
Richa Chadha,380
Lin-Manuel Miranda,380
Regina Cassandra,378
Vincent Asokan,377
Suhasini Maniratnam,376
Benjamin Bratt,374
Riythvika,373
Rajpal Yadav,372
Bo Huang,371
Michael J. Nelson,371
Lupita Nyong'o,370
Ravi Varma,369
G. V. Prakash Kumar,368
Billy Crystal,367
John Goodman,367
Kevin Costner,365
Vikram Prabhu,365
Superman,362
Pandiarajan,361
Kiran Tabeer,360
Monica Lacy,360
Fujiko Kojima,360
Clara Alonso,360
Sonya Leslie,360
Clay St. Thomas,360
Khadijah Freeman,360
Sophia Clarke,360
Eldar Otarbayev,360
Reagan Rundus,360
Fred Armisen,360
Ryan Ding,360
He Lei,360
Ryan,360
Elena Solovieva,360
Rayver Cruz,360
Sophie Pollono,360
Elizabeth Olsen,360
Ella Kenion,360
Montse Hernandez,360
Sakurako Ohara,360
Fred Rogers,360
Raül López,360
Landon Gordon,360
Real Andrews,360
Kiran Kamath,360
Kevsho,360
Morgan C Jones,360
Elena Kareva,360
Landon Gimenez,360
Claudia Jessie,360
Eileen O’Connell,360
Rebecca Bloom,360
Eileen O'Higgins,360
Elijah Flanery,360
Claudia Barba,360
Mykal-Michelle Harris,360
Kerr Logan,360
Sonia Mishal,360
Elaine May,360
Eugeniy Miller,360
Keylor Leigh,360
He Hong Shan,360
Eliz Perez,360
Rupali Jagga,360
Sakina Samoo,360
Hina Miyano,360
Lane Davies,360
Saira Khan,360
Stephen Schwartz,360
Ryan McParland,360
Emma Meisel,360
Felipe Reyes,360
Emmanuel Kabongo,360
Femi Lawson,360
Michelle Weisbom,360
Sai Ketan Rao,360
Fang Xiao Li,360
NSG,360
Emma Miyazawa (ep2.4.5.7.8,360
Kathy Najimy,360
Fan Zhi Xin,360
Samuel Morris,360
Elle Graham,360
Kieran Long,360
RanyinRuocai,360
Faizan Khawaja,360
Erinn Hayes,360
Sabrina Lembo,360
Emma,360
Sreeram Chandra,360
Chris Burnett,360
Sabrina Ferilli,360
Eryka Karkuszewska,360
Emmy DeOliveira,360
Laura Ault,360
Erika Ishii,360
Kevin Rankin,360
Henri Sallis,360
Chris Payne Gilbert,360
Chris Martin,360
Sade Mitchell,360
Eric Mayers,360
Stephanie Nadolny,360
Eric Knobel,360
Michaela Dietz,360
Erica Stone,360
Samantha Wan,360
Samantha Weinsten,360
Eric Epps,360
Eric AKA TygurStyle,360
Sam Seum,360
Nawed Khan,360
Christa Clahane,360
Farhad Fareed,360
Stacy Allen,360
Emre Gürkan Bıyık,360
Rashmeet Kaur,360
Mystic Inscho,360
Emily VanCamp,360
Emily Skinner,360
Eshan Inamdar,360
Floyd Igbo,360
Fra Fee,360
Choi Woo-Sik,360
Emile Crawford,360
Esther Toward,360
Eme Ikwuakor,360
Mounima,360
Francesca Capaldi,360
Eloise Mumford,360
Ryohei Otani,360
Steven Marriott,360
Sally Grace,360
Chuck Aber,360
Katie Crown,360
Sovereign Bill,360
Ryan-James Hatanaka,360
Hillary Blazer-Doyle,360
Ryan Quincy,360
Cicely Capozzi,360
Kim Seul-gi,360
Stevie Dutson,360
Ellen Woglom,360
Ewan Petrie,360
Emilia Mernes,360
Christopher Jacot,360
Sang Hyun Uhm,360
Emily Perry,360
Emily Kate,360
Mieko Harada,360
Michael aka RedVacktor,360
Sandra De Sousa,360
Emily Carmer,360
Steven Mackintosh,360
Christopher Nguyen,360
Chris Barrie,360
Sandra Dee Robinson,360
Emily Broschinsky,360
Heather Tobias,360
Mihca Kılıç,360
