actor,air_time_in_minutes
Taryn Manning,192
Deborah Mailman,192
Jane Seymour,192
Krista Allen,191
Kelli Berglund,191
Kimiko Ishizaka,191
Ondřej Malý,191
Bailee Madison,190
Bill Wetherill,190
Andrew Cheney,190
Greg Lutz,190
Joseph S. Lambert,189
Siobhan Lumsden,189
Keith Allen,189
Curtis Armstrong,188
Imelda Staunton,188
Bill Cobbs,188
Ginnifer Goodwin,188
Chloe Sevigny,187
Barry Corbin,187
Leslie Odom Jr.,187
Claire Rankin,186
Ashley Argota,186
Karan Brar,186
Teddie-Rose Malleson-Allen,186
Jessica Hynes,186
Emily Watson,185
James Denton,185
Jake Busey,185
Anna Cathcart,185
Savanah McMahon,184
Deana Carter,184
William Ainscough,183
Timothy Spall,183
Little Audrey,183
Elmer Fudd,183
Martin Sheen,183
Felix the Cat,183
Brian Shoop,183
Bryan Callen,182
Peyton List,182
Todd Stashwick,182
Neo Hooo,182
Ken Stott,182
Gabriel Bateman,182
Kunal Nayyar,182
Julia Jones,182
Josh Duhamel,182
Janet Montgomery,182
Dee Wallace,182
Kristy Swanson,182
Megan Fox,182
Scott Adkins,182
Kylee Russell,181
Carla Jeffery,181
Meg Donnelly,181
Milo Manheim,181
Madeleine McGraw,181
Stanton Friedman,181
Dougray Scott,181
Trevor Tordjman,181
Stephen Bassett,181
Corinee Foxx,180
Sophie Nélisse,180
Kanan Gill,180
Khylin Rhambo,180
Brianne Tju,180
Sistine Stallone,180
John Corbett,180
Suman Shetty,180
Ed Oxenbould,180
Davi Santos,180
Brec Bassinger,180
Carlos Hurtado,179
Travis Walton,179
Courtney Ford,179
Kirsten Robek,179
Steve Carell,179
Sharlto Copley,178
Pooja Hegde,177
Nick Moran,177
Allari Naresh,177
Coco Jones,175
Woody Woodpecker,175
Dominique Swain,175
Heckle and Jeckle,175
Mighty Mouse,175
Bosko,175
Rob Tinkler,174
Jagapati Babu,174
Martin Short,174
Alexa Torrington,174
Anasuya Bharadwaj,174
Jacob Ewaniuk,174
Ram Charan,174
Richard Blake,173
Niveda Thomas,172
Kalabhavan Mani,172
Jagannathan,172
Tharun Bhascker Dhaassyam,171
Bella Thorne,171
Vijayashanti,171
Mango,169
Annie,169
Rama Prabha,169
Ben,169
Devaraj,169
Steven T. Shippy,169
Matt Sloan,168
Abu Nizam,168
Afroza Sarwar,168
Millie Davis,168
Tharun Bhascker Dhaassya,167
Vijay Deverakonda,167
Aditya Roy Kapoor,166
Madhuri Dixit,166
Dave Goelz,164
Martin Freeman,164
Eva Longoria,164
Aarohi Patel,163
Raza Murad,163
Malhar Thakar,163
Sanah Thimmayyah,162
Yashas Surya,162
Darshan,162
Latha,162
Supriya Pathak Kapur,161
Selva Rasalingam,161
Farhan Akhtar,161
Dr.Mohan Agashe,161
Darshan Kumaar,161
Jasmine Jones,160
Kelly Marie Tran,160
Renée Goldsberry,160
Richard Dolan,159
Anant Vidhaat,159
Kumud Kumar Mishra,159
Sajjad Delafrooz,159
Bobby Deol,159
Nikhil Kumar,159
Nick Pope,159
Joshua Kuchta,159
Saqib Saleem,159
Daisy Shah,159
Freddy Daruwala,159
Girish Karnad,159
Linda Moulton Howe,159
Kids TV,158
Megan Hilty,157
Kpac Lalitha,157
Lal,157
Dharmajan,157
Radhika Sarathkaumar,157
Yogibabu Nataraja Subramanian,157
Madhuri,157
Sai Srinivas Bellamkonda,157
